base_composite_rank,player,position,team,bye,base_quality_score,source_count,position_conflict,draftsheets_value,draftsheets_position_tier,draftsheets_overall_value_rank,jeff_mans_rank,qb_chart_rank,qb_chart_tier,qb_chart_2qb_adp
65,Bhayshul Tuten,RB,JAX,7,70.666,2,False,35,4,60,68,,,
66,Luther Burden III,WR,CHI,10,69.38,2,False,24,4,72,63,,,
67,Jordan Love,QB,GB,11,68.8,3,False,17,6,85,50,17,TIER 2a,39.9
68,Baker Mayfield,QB,TB,10,68.584,3,False,29,6,67,65,18,TIER 2a,34.9
69,Jameson Williams,WR,DET,6,68.06,2,False,32,4,64,75,,,
70,Colston Loveland,TE,CHI,10,68.02,2,False,32,3,63,76,,,
71,David Montgomery,RB,HOU,8,67.542,2,False,27,4,70,72,,,
72,Tyler Shough,QB,NO,8,67.486,3,False,23,6,76,60,20,TIER 2b,57.9
73,Davante Adams,WR,LAR,11,66.434,2,False,35,4,61,84,,,
74,TreVeyon Henderson,RB,NE,11,64.96,2,False,19,4,81,73,,,
75,Tyler Warren,TE,IND,13,64.088,2,False,20,4,78,79,,,
76,Malik Willis,QB,MIA,6,63.394,3,False,15,7,89,66,21,TIER 2b,73.1
77,C.J. Stroud,QB,HOU,8,62.221,3,False,0,7,118,49,19,TIER 2b,41.8
78,Jaylen Warren,RB,PIT,9,62.063,2,False,17,5,84,82,,,
79,Tucker Kraft,TE,GB,11,62.024,2,False,18,5,83,83,,,
80,Marvin Harrison Jr.,WR,ARI,14,61.797,2,False,15,5,90,78,,,
81,Jaylen Waddle,WR,DEN,10,61.221,2,False,28,3,69,98,,,
82,Alec Pierce,WR,IND,13,60.359,2,False,19,5,79,93,,,
83,Jadarian Price,RB,SEA,11,60.325,2,False,36,5,59,110,,,
84,Kyle Pitts Sr.,TE,ATL,11,60.132,2,False,17,5,86,88,,,
85,Tony Pollard,RB,TEN,9,59.645,2,False,19,5,80,95,,,
86,Sam Darnold,QB,SEA,11,59.408,3,False,7,7,105,69,22,TIER 2b,48.8
87,Courtland Sutton,WR,DEN,10,59.364,2,False,14,5,92,86,,,
88,Kyler Murray,QB,MIN,6,58.94,3,False,29,6,68,100,24,TIER 2c,56.9
89,DK Metcalf,WR,PIT,9,58.201,2,False,15,5,88,94,,,
90,Brian Thomas Jr.,WR,JAX,7,58.053,2,False,12,5,97,87,,,
91,Chuba Hubbard,RB,CAR,5,57.92,2,False,9,5,100,85,,,
92,Sam LaPorta,TE,DET,6,57.91,2,False,16,5,87,96,,,
93,Carnell Tate,WR,TEN,9,57.265,2,False,22,5,77,107,,,
94,Christian Watson,WR,GB,11,56.856,2,False,23,4,73,112,,,
95,Dalton Kincaid,TE,BUF,7,55.777,2,False,7,6,103,91,,,
96,Daniel Jones,QB,IND,13,55.743,3,False,0,7,119,70,25,TIER 2c,72.4
97,KC Concepcion,WR,,,55.508,1,False,6,6,106,,,,
98,Travis Kelce,TE,KC,5,54.112,2,False,10,6,99,101,,,
99,Harold Fannin Jr.,TE,CLE,11,53.412,2,False,14,5,94,108,,,
100,Jonathon Brooks,RB,,,52.966,1,False,2,5,112,,,,
101,Rhamondre Stevenson,RB,NE,11,52.737,2,False,14,5,96,109,,,
102,Denzel Boston,WR,,,52.542,1,False,1,7,113,,,,
103,Isaiah Likely,TE,NYG,8,51.175,2,False,9,6,101,111,,,
104,Rico Dowdle,RB,PIT,9,51.033,2,False,15,5,91,120,,,
105,Parker Washington,WR,JAX,7,50.688,2,False,14,5,95,118,,,
106,Jayden Reed,WR,GB,11,49.953,2,False,0,6,121,99,,,
107,Makai Lemon,WR,PHI,10,49.707,2,False,8,6,102,116,,,
108,George Kittle,TE,SF,8,49.298,2,False,12,6,98,121,,,
109,Michael Pittman Jr.,WR,PIT,9,49.254,2,False,1,5,116,106,,,
110,Jakobi Meyers,WR,JAX,7,48.352,2,False,-2,6,125,102,,,
111,Chris Godwin Jr.,WR,TB,10,47.549,2,False,2,5,111,117,,,
112,Michael Wilson,WR,ARI,14,47.283,2,False,1,6,117,113,,,
113,Kyle Monangai,RB,CHI,10,47.259,2,False,3,6,110,119,,,
114,Brenton Strange,TE,,,46.61,1,False,-3,7,127,,,,
115,Cam Ward,QB,TEN,9,46.093,3,False,-20,7,164,77,23,TIER 2b,89.2
116,Bryce Young,QB,CAR,5,45.431,3,False,-18,7,156,81,28,TIER 3a (BYE WEEK REPLACEMENTS),88.4
117,Xavier Worthy,WR,KC,5,44.874,2,False,-2,6,126,115,,,
118,Romeo Doubs,WR,NE,11,44.632,2,False,-10,7,139,105,,,
119,Jordyn Tyson,WR,NO,8,44.44,2,False,1,6,115,126,,,
120,Deebo Samuel Sr.,WR,,,44.068,1,False,-6,7,133,,,,
121,Aaron Jones Sr.,RB,MIN,6,44.066,2,False,-5,6,131,114,,,
122,Jake Ferguson,TE,DAL,14,43.884,2,False,0,6,120,124,,,
123,Rashid Shaheed,WR,,,42.373,1,False,-7,7,137,,,,
124,Quentin Johnston,WR,LAC,7,42.194,2,False,4,6,109,140,,,
125,Jordan Addison,WR,MIN,6,42.14,2,False,1,6,114,136,,,
126,Matthew Golden,WR,GB,11,41.592,2,False,-5,6,132,123,,,
127,Mark Andrews,TE,BAL,13,41.495,2,False,7,6,104,147,,,
128,Blake Corum,RB,LAR,11,41.489,2,False,-1,6,123,131,,,
129,Jacory Croskey-Merritt,RB,WAS,7,41.401,2,False,4,6,108,144,,,
130,Josh Downs,WR,IND,13,40.666,2,False,-6,6,134,125,,,
131,Chris Rodriguez Jr.,RB,JAX,7,40.286,2,False,-22,6,169,97,,,
132,Wan'Dale Robinson,WR,TEN,9,39.952,2,False,-6,6,135,127,,,
133,Dalton Schultz,TE,,,39.831,1,False,-13,7,143,,,,
134,RJ Harvey,RB,DEN,10,39.755,2,False,-4,6,130,132,,,
135,Omar Cooper Jr.,WR,,,38.983,1,False,-13,7,145,,,,
136,Juwan Johnson,TE,NO,8,38.922,2,False,-3,7,128,137,,,
137,Calvin Ridley,WR,,,38.559,1,False,-14,8,146,,,,
138,AJ Barner,TE,,,38.136,1,False,-16,7,147,,,,
139,Dallas Goedert,TE,PHI,10,37.544,2,False,14,6,93,172,,,
140,Jacoby Brissett,QB,ARI,14,37.355,3,False,-33,8,188,92,26,TIER 2c,119.2
141,Khalil Shakir,WR,BUF,7,37.291,2,False,-13,6,144,130,,,
142,Pat Freiermuth,TE,,,37.288,1,False,-16,8,149,,,,
143,T.J. Hockenson,TE,,,36.864,1,False,-16,7,150,,,,
144,Stefon Diggs,WR,WAS,7,36.552,2,False,-8,6,138,138,,,
145,Terrance Ferguson,TE,,,36.441,1,False,-16,8,151,,,,
146,Jordan Mason,RB,MIN,6,36.173,2,False,0,6,122,153,,,
147,Tre Tucker,WR,,,36.017,1,False,-16,7,152,,,,
148,Kenny Gainwell,RB,TB,10,35.971,2,False,-7,6,136,142,,,
149,J.K. Dobbins,RB,DEN,10,35.1,2,False,18,5,82,191,,,
150,Rashod Bateman,WR,,,34.746,1,False,-17,8,155,,,,
151,Aaron Rodgers,QB,PIT,9,33.928,3,False,-45,8,207,90,27,TIER 3a (BYE WEEK REPLACEMENTS),106.2
152,Greg Dulcich,TE,,,33.898,1,False,-19,9,157,,,,
153,Zach Charbonnet,RB,SEA,11,33.729,2,False,-19,7,162,129,,,
154,Hunter Henry,TE,NE,11,33.685,2,False,-4,7,129,157,,,
155,Jalen McMillan,WR,,,33.475,1,False,-19,7,158,,,,
156,Jalen Nailor,WR,LV,13,33.108,2,False,-19,7,159,134,,,
157,De'Zhaun Stribling,WR,SF,8,33.07,2,False,4,7,107,178,,,
158,Zachariah Branch,WR,ATL,11,32.663,1,False,,,,135,,,
159,Kaelon Black,RB,,,32.627,1,False,-19,9,160,,,,
160,Jayden Higgins,WR,HOU,8,32.399,2,False,-11,6,141,152,,,
161,Cade Otton,TE,,,31.356,1,False,-20,8,163,,,,
162,Ricky Pearsall,WR,SF,8,30.653,1,False,,,,139,,,
163,Jauan Jennings,WR,,,30.508,1,False,-20,7,165,,,,
164,Alvin Kamara,RB,,,30.085,1,False,-21,7,166,,,,
165,Woody Marks,RB,HOU,8,29.921,2,False,-19,7,161,145,,,
166,Oronde Gadsden,TE,LAC,7,29.655,2,False,-21,7,167,141,,,
167,Tank Dell,WR,,,29.237,1,False,-21,8,168,,,,
168,Tyrone Tracy Jr.,RB,,,28.39,1,False,-22,6,170,,,,
169,J.J. McCarthy,QB,MIN,6,28.171,3,False,-175,10,233,89,31,TIER 3a (BYE WEEK REPLACEMENTS),140.6
170,Jonah Coleman,RB,,,27.542,1,False,-24,7,172,,,,
171,Fernando Mendoza,QB,LV,13,27.234,3,False,-69,8,224,103,29,TIER 3a (BYE WEEK REPLACEMENTS),127.9
172,Houston Texans,DST,HOU,8,27.136,1,False,,,,146,,,
173,Tyjae Spears,RB,,,27.119,1,False,-24,7,173,,,,
174,Kayshon Boutte,WR,,,26.271,1,False,-26,8,175,,,,
175,Gunnar Helm,TE,,,25.847,1,False,-27,8,176,,,,
176,Rachaad White,RB,WAS,7,25.448,2,False,-1,6,124,194,,,
177,Travis Hunter,WR,,,25.424,1,False,-28,8,177,,,,
178,Mike Washington Jr.,RB,LV,13,25.404,2,False,-11,8,142,179,,,
179,Denver Broncos,DST,DEN,10,25.126,1,False,,,,150,,,
180,Brian Robinson Jr.,RB,,,25.0,1,False,-29,7,178,,,,
181,Tyler Allgeier,RB,ARI,14,24.915,2,False,-32,6,187,143,,,
182,Shedeur Sanders,QB,CLE,11,24.838,3,False,-139,9,230,104,33,TIER 3b (BYE WEEK REPLACEMENTS),124.3
183,Jalen Coker,WR,CAR,5,24.822,2,False,-11,6,140,183,,,
184,Geno Smith,QB,NYJ,13,24.816,3,False,-42,8,203,128,32,TIER 3a (BYE WEEK REPLACEMENTS),98.9
185,Kenyon Sadiq,TE,NYJ,13,24.635,2,False,-16,8,148,177,,,
186,Philadelphia Eagles,DST,PHI,10,24.623,1,False,,,,151,,,
187,Dontayvion Wicks,WR,,,24.576,1,False,-29,8,179,,,,
188,Evan Engram,TE,,,24.153,1,False,-29,9,180,,,,
189,Malik Washington,WR,MIA,6,23.831,2,False,-31,8,185,149,,,
190,Colby Parkinson,TE,,,23.729,1,False,-30,9,181,,,,
191,Isiah Pacheco,RB,DET,6,23.531,2,False,-24,7,171,162,,,
192,David Njoku,TE,,,23.305,1,False,-30,9,182,,,,
193,Brandon Aiyuk,WR,SF,8,23.116,1,False,,,,154,,,
194,Ted Hurst III,WR,TB,10,22.613,1,False,,,,155,,,
195,Seattle Seahawks,DST,SEA,11,22.111,1,False,,,,156,,,
196,Adonai Mitchell,WR,NYJ,13,21.639,2,False,-25,7,174,167,,,
197,Mike Gesicki,TE,,,21.61,1,False,-31,10,186,,,,
198,Jerry Jeudy,WR,CLE,11,21.605,2,False,-17,7,154,184,,,
199,Chig Okonkwo,TE,WAS,7,21.565,2,False,-17,7,153,185,,,
200,Cameron Dicker,K,LAC,7,21.106,1,False,,,,158,,,
201,Brandon Aubrey,K,DAL,14,20.603,1,False,,,,159,,,
202,Tank Bigsby,RB,,,20.339,1,False,-34,7,189,,,,
203,Michael Penix Jr.,QB,ATL,11,20.321,3,False,-141,9,231,122,34,TIER 3b (BYE WEEK REPLACEMENTS),140.4
204,Baltimore Ravens,DST,BAL,13,20.101,1,False,,,,160,,,
205,Troy Franklin,WR,,,19.915,1,False,-34,8,190,,,,
206,Kaytron Allen,RB,WAS,7,19.545,2,False,-35,8,191,161,,,
207,Tua Tagovailoa,QB,ATL,11,19.431,3,False,-87,9,228,133,30,TIER 3a (BYE WEEK REPLACEMENTS),138.4
208,Isaac TeSlaa,WR,,,19.068,1,False,-36,8,192,,,,
209,Mason Taylor,TE,,,18.644,1,False,-36,9,193,,,,
210,Cam Little,K,JAX,7,18.09,1,False,,,,164,,,
211,Ryan Flournoy,WR,,,17.797,1,False,-36,8,195,,,,
212,Los Angeles Rams,DST,LAR,11,17.588,1,False,,,,165,,,
213,Pittsburgh Steelers,DST,PIT,9,17.085,1,False,,,,166,,,
214,Dylan Sampson,RB,,,16.949,1,False,-38,7,197,,,,
215,Keaton Mitchell,RB,,,16.525,1,False,-39,7,198,,,,
216,Theo Johnson,TE,,,16.102,1,False,-39,9,199,,,,
217,Bryce Lance,WR,NO,8,16.08,1,False,,,,168,,,
218,Tre' Harris,WR,LAC,7,15.973,2,False,-36,8,196,171,,,
219,Emmett Johnson,RB,KC,5,15.963,2,False,-30,8,183,182,,,
220,Justice Hill,RB,,,15.678,1,False,-40,9,200,,,,
221,New England Patriots,DST,NE,11,15.578,1,False,,,,169,,,
222,Samaje Perine,RB,,,15.254,1,False,-40,9,201,,,,
223,Ka'imi Fairbairn,K,HOU,8,15.075,1,False,,,,170,,,
224,Demond Claiborne,RB,,,14.831,1,False,-41,9,202,,,,
225,Braelon Allen,RB,NYJ,13,14.746,2,False,-31,7,184,186,,,
226,Kirk Cousins,QB,LV,13,13.994,3,False,-151,9,232,148,35,TIER 3b (BYE WEEK REPLACEMENTS),128.6
227,Jordan James,RB,,,13.983,1,False,-42,9,204,,,,
228,Minnesota Vikings,DST,MIN,6,13.568,1,False,,,,173,,,
229,Pat Bryant,WR,,,13.559,1,False,-42,8,205,,,,
230,Jaylin Noel,WR,,,13.136,1,False,-43,8,206,,,,
231,Jacksonville Jaguars,DST,JAX,7,13.065,1,False,,,,174,,,
232,Harrison Butker,K,KC,5,12.563,1,False,,,,175,,,
