provider,player,position,team,bye,adp,high,low,stdev,sample_size,player_url
fantasypros,Jonah Coleman,RB,DEN,10,122.0,103.0,210.0,18.99,,https://www.fantasypros.com/nfl/players/jonah-coleman.php
fantasypros,Tyjae Spears,RB,TEN,9,123.0,98.0,210.0,18.7,,https://www.fantasypros.com/nfl/players/tyjae-spears.php
fantasypros,Kyle Pitts Sr.,TE,ATL,11,124.0,80.0,210.0,20.58,,https://www.fantasypros.com/nfl/players/kyle-pitts.php
fantasypros,Chris Godwin Jr.,WR,TB,10,125.0,82.0,210.0,27.43,,https://www.fantasypros.com/nfl/players/chris-godwin.php
fantasypros,Isiah Pacheco,RB,DET,6,125.0,103.0,210.0,29.43,,https://www.fantasypros.com/nfl/players/isiah-pacheco.php
fantasypros,Jordyn Tyson,WR,NO,8,127.0,89.0,210.0,36.76,,https://www.fantasypros.com/nfl/players/jordyn-tyson.php
fantasypros,Alvin Kamara,RB,NO,8,127.0,95.0,210.0,28.14,,https://www.fantasypros.com/nfl/players/alvin-kamara.php
fantasypros,C.J. Stroud,QB,HOU,8,131.0,52.0,210.0,30.04,,https://www.fantasypros.com/nfl/players/cj-stroud.php
fantasypros,Sam Darnold,QB,SEA,11,132.0,66.0,210.0,35.91,,https://www.fantasypros.com/nfl/players/sam-darnold.php
fantasypros,Houston Texans,DST,HOU,8,134.0,96.0,210.0,23.29,,https://www.fantasypros.com/nfl/players/houston-defense.php
fantasypros,George Kittle,TE,SF,8,137.0,70.0,210.0,35.32,,https://www.fantasypros.com/nfl/players/george-kittle.php
fantasypros,Los Angeles Rams,DST,LAR,11,142.0,115.0,210.0,20.88,,https://www.fantasypros.com/nfl/players/los-angeles-rams-defense.php
fantasypros,Denver Broncos,DST,DEN,10,142.0,101.0,210.0,21.49,,https://www.fantasypros.com/nfl/players/denver-defense.php
fantasypros,Dylan Sampson,RB,CLE,11,143.0,103.0,210.0,37.77,,https://www.fantasypros.com/nfl/players/dylan-sampson.php
fantasypros,Michael Pittman Jr.,WR,PIT,9,143.0,83.0,210.0,40.43,,https://www.fantasypros.com/nfl/players/michael-pittman.php
fantasypros,Daniel Jones,QB,IND,13,147.0,60.0,210.0,46.82,,https://www.fantasypros.com/nfl/players/daniel-jones.php
fantasypros,Wan'Dale Robinson,WR,TEN,9,147.0,77.0,210.0,47.57,,https://www.fantasypros.com/nfl/players/wandale-robinson.php
fantasypros,Seattle Seahawks,DST,SEA,11,148.0,127.0,210.0,18.74,,https://www.fantasypros.com/nfl/players/seattle-defense.php
fantasypros,Braelon Allen,RB,NYJ,13,149.0,108.0,210.0,40.53,,https://www.fantasypros.com/nfl/players/braelon-allen.php
fantasypros,Jayden Reed,WR,GB,11,151.0,103.0,210.0,39.78,,https://www.fantasypros.com/nfl/players/jayden-reed.php
fantasypros,Dalton Kincaid,TE,BUF,7,151.0,115.0,210.0,33.83,,https://www.fantasypros.com/nfl/players/dalton-kincaid.php
fantasypros,Jordan Addison,WR,MIN,6,151.0,89.0,210.0,45.37,,https://www.fantasypros.com/nfl/players/jordan-addison.php
fantasypros,Philadelphia Eagles,DST,PHI,10,152.0,131.0,210.0,17.98,,https://www.fantasypros.com/nfl/players/philadelphia-defense.php
fantasypros,Brandon Aubrey,K,DAL,14,154.0,105.0,210.0,27.06,,https://www.fantasypros.com/nfl/players/brandon-aubrey.php
fantasypros,Makai Lemon,WR,PHI,10,155.0,104.0,210.0,36.99,,https://www.fantasypros.com/nfl/players/makai-lemon.php
fantasypros,MarShawn Lloyd,RB,GB,11,155.0,112.0,210.0,36.89,,https://www.fantasypros.com/nfl/players/marshawn-lloyd.php
